Number,Name,DMX-red,DMX-green,DMX-blue
4930,30 Lavender,184,147,255
4960,60 Lavender,138,83,255
4990,90 Lavender,99,46,255
2001,VS Red,255,35,7
2002,VS Orange,255,122,33
2003,VS Yellow,255,204,20
2004,VS Green,37,255,85
2005,VS Cyan,44,165,255
2006,VS Azure,20,31,255
2007,VS Blue,44,53,255
2008,VS Indigo,38,18,255
2009,VS Violet,116,31,255
2010,VS Magenta,235,73,255
1,Light Bastard Amber,255,171,121
2,Bastard Amber,255,218,165
302,Pale Bastard Amber,255,240,214
3,Dark Bastard Amber,255,188,115
303,Warm Peach,255,157,65
4,Medium Bastard Amber,255,192,134
304,Pale Apricot,255,205,155
5,Rose Tint,255,216,195
305,Rose Gold,255,206,168
6,No Color Straw,254,255,205
7,Pale Yellow,255,255,192
8,Pale Gold,255,238,173
9,Pale Amber Gold,255,220,122
10,Medium Yellow,243,255,46
310,Daffodil,250,255,89
11,Light Straw,255,237,67
12,Straw,254,255,44
312,Canary,255,244,25
13,Straw Tint,255,227,107
313,Light Relief Yellow,255,232,52
14,Medium Straw,255,216,39
15,Deep Straw,255,197,14
16,Light Amber,255,194,78
316,Gallo Gold,255,184,90
17,Light Flame,255,165,78
317,Apricot,255,161,68
18,Flame,255,172,69
318,Mayan Sun,255,132,65
19,Fire,255,61,0
20,Medium Amber,255,166,19
21,Golden Amber,255,129,9
321,Soft Golden Amber,255,150,51
22,Deep Amber,255,84,1
23,Orange,255,100,11
325,Henna Sky,255,74,13
24,Scarlet,255,68,21
324,Gypsy Red,255,65,27
25,Orange Red,255,52,4
26,Light Red,255,35,7
27,Medium Red,255,19,0
30,Light Salmon Pink,255,147,91
31,Salmon Pink,255,142,122
331,Shell Pink,255,176,149
32,Medium Salmon Pink,255,100,65
332,Cherry Rose,255,88,40
33,No Color Pink,255,200,226
333,Blush Pink,255,213,246
34,Flesh Pink,255,147,159
35,Light Pink,255,193,207
36,Medium Pink,255,147,167
336,Billington Pink,255,147,209
37,Pale Rose Pink,255,187,245
337,true Pink,255,172,217
38,Light Rose,255,185,213
39,Skelton Exotic Sangria,255,33,120
339,Broadway Pink,255,46,116
40,Light Salmon,255,113,44
41,Salmon,255,71,28
42,Deep Salmon,255,43,37
342,Rose Pink,255,40,43
43,Deep Pink,255,90,143
343,Neon Pink,255,79,125
44,Middle Rose,255,91,211
344,Follies Pink,255,80,231
45,Rose,255,52,68
46,Magenta,255,33,39
346,Tropical Magenta,255,41,205
47,Light Rose Purple,149,79,255
347,Belladonna Rose,158,6,255
48,Rose Purple,221,79,255
348,Purple Jazz,178,44,255
49,Medium Purple,248,24,255
349,Fisher Fuchsia,255,35,251
50,Mauve,255,82,63
51,Surprise Pink,203,181,255
351,Lavender Mist,221,202,255
52,Light Lavender,169,127,255
